Code,Relative value,pc/tc splits,schedule
84460,8.63,0/100,medical
84466,21.56,0/100,medical
84478,8.63,0/100,medical
84479,11.09,0/100,medical
84480,24.64,0/100,medical
84481,32.65,0/100,medical
84482,27.72,0/100,medical
84484,12.90,0/100,medical
84485,12.32,0/100,medical
84488,8.01,0/100,medical
84490,9.24,0/100,medical
84510,16.02,0/100,medical
84512,10.06,0/100,medical
84520,8.01,0/100,medical
84525,6.16,0/100,medical
84540,9.86,0/100,medical
84545,12.32,0/100,medical
84550,8.01,0/100,medical
84560,9.86,0/100,medical
84577,12.32,0/100,medical
84578,5.54,0/100,medical
84580,11.71,0/100,medical
84583,5.54,0/100,medical
84585,30.81,0/100,medical
84586,47.44,0/100,medical
84588,50.52,0/100,medical
84590,28.96,0/100,medical
84591,28.34,0/100,medical
84597,28.34,0/100,medical
84600,21.56,0/100,medical
84620,27.11,0/100,medical
84630,24.64,0/100,medical
84681,36.97,0/100,medical
84702,24.64,0/100,medical
84703,14.17,0/100,medical
84704,23.41,0/100,medical
84830,15.40,0/100,medical
84999,BR,,medical
85002,12.94,0/100,medical
85004,9.24,0/100,medical
85007,7.39,0/100,medical
85008,4.93,0/100,medical
85009,7.39,0/100,medical
85013,5.54,0/100,medical
85014,5.54,0/100,medical
85018,5.54,0/100,medical
85025,11.40,0/100,medical
85027,10.78,0/100,medical
85032,9.24,0/100,medical
85041,8.63,0/100,medical
85044,9.24,0/100,medical
85045,8.63,0/100,medical
85046,7.23,0/100,medical
85048,8.63,0/100,medical
85049,8.63,0/100,medical
85055,34.91,0/100,medical
85060,21.56,,medical
85097,55.45,,medical
85130,18.48,0/100,medical
85170,6.47,0/100,medical
85175,12.32,0/100,medical
85210,18.48,0/100,medical
85220,36.97,0/100,medical
85230,36.97,0/100,medical
85240,40.05,0/100,medical
85244,49.29,0/100,medical
85245,30.81,0/100,medical
85246,49.29,0/100,medical
85247,49.29,0/100,medical
85250,40.05,0/100,medical
85260,36.97,0/100,medical
85270,40.05,0/100,medical
85280,40.05,0/100,medical
85290,36.97,0/100,medical
85291,17.87,0/100,medical
85292,36.97,0/100,medical
85293,36.97,0/100,medical
85300,32.65,0/100,medical
85301,30.81,0/100,medical
85302,33.89,0/100,medical
85303,36.97,0/100,medical
85305,40.05,0/100,medical
85306,40.05,0/100,medical
85307,33.89,0/100,medical
85335,16.63,0/100,medical
85337,30.81,0/100,medical
85345,6.16,0/100,medical
85347,6.16,0/100,medical
85348,9.86,0/100,medical
85360,19.72,0/100,medical
85362,13.55,0/100,medical
85366,19.72,0/100,medical
85370,19.72,0/100,medical
85378,16.02,0/100,medical
85379,18.48,0/100,medical
85380,18.48,0/100,medical
85384,12.32,0/100,medical
85385,15.40,0/100,medical
85390,15.40,,medical
85396,15.40,,medical
85397,24.64,0/100,medical
85400,29.57,0/100,medical
85410,29.57,0/100,medical
85415,22.80,0/100,medical
85420,29.57,0/100,medical
85421,36.97,0/100,medical
85441,5.54,0/100,medical
85445,8.63,0/100,medical
85460,16.63,0/100,medical
85461,16.63,0/100,medical
85475,20.95,0/100,medical
