Code,Description,Basic Unit,schedule
1758,"Anesthesia for open or surgical arthroscopic procedures of the elbow, excision of cyst or tumor of humerus",5.0,medical
1760,Anesthesia for open or surgical arthroscopic procedures of the elbow total elbow replacement,7.0,medical
1770,Anesthesia for procedures on arteries of upper arm and elbow; not otherwise specified,6.0,medical
1772,Anesthesia for procedures on arteries of upper arm and elbow; embolectomy,6.0,medical
1780,Anesthesia for procedures on veins of upper arm and elbow; not otherwise specified,3.0,medical
1782,Anesthesia for procedures on veins of upper arm and elbow; phleborrhaphy,4.0,medical
1810,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand",3.0,medical
1820,"Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones",3.0,medical
1829,Anesthesia for diagnostic arthroscopic procedures on the wrist,3.0,medical
1830,"Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; not otherwise specified",3.0,medical
1832,"Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; total wrist replacement",6.0,medical
1840,"Anesthesia for procedures on arteries of forearm, wrist, and hand; not otherwise specified",6.0,medical
1842,"Anesthesia for procedures on arteries of forearm, wrist, and hand; embolectomy",6.0,medical
1844,"Anesthesia for vascular shunt, or shunt revision, any type (eg, dialysis)",6.0,medical
1850,"Anesthesia for procedures on veins of forearm, wrist, and hand; not otherwise specified",3.0,medical
1852,"Anesthesia for procedures on veins of forearm, wrist, and hand; phleborrhaphy",4.0,medical
1860,"Anesthesia for forearm, wrist, or hand cast application, removal, or repair",3.0,medical
1916,Anesthesia for diagnostic arteriography/venography,5.0,medical
1920,Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter),7.0,medical
1922,Anesthesia for non-invasive imaging or radiation therapy,7.0,medical
1924,Anesthesia for therapeutic interventional radiological procedures involving the arterial system; not otherwise specified,6.0,medical
1925,Anesthesia for therapeutic interventional radiological procedures involving the arterial system; carotid or coronary,8.0,medical
1926,"Anesthesia for therapeutic interventional radiological procedures involving the arterial system; intracranial, intracardiac, or aortic",10.0,medical
1930,Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); not otherwise specified,5.0,medical
1931,"Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transvenous intrahepatic portosystemic shunt[s] [TIPS])",7.0,medical
1932,Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrathoracic or jugular,7.0,medical
1933,Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intracranial,8.0,medical
1935,Anesthesia for percutaneous image guided procedures on the spine and spinal cord; diagnostic,5.0,medical
1936,Anesthesia for percutaneous image guided procedures on the spine and spinal cord; therapeutic,5.0,medical
1951,"Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; less than 4% total body surface area",3.0,medical
1952,"Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; between 4% and 9% of total body surface area",5.0,medical
1953,"Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery, each additional 9% total body surface area or part thereof (List separately in addition to code for primary procedure)",1.0,medical
1958,Anesthesia for external cephalic version procedure,5.0,medical
1960,Anesthesia for vaginal delivery only,5.0,medical
1961,Anesthesia for cesarean delivery only,7.0,medical
1962,Anesthesia for urgent hysterectomy following delivery,8.0,medical
1963,Anesthesia for cesarean hysterectomy without any labor analgesia/anesthesia care,10.0,medical
1965,Anesthesia for incomplete or missed abortion procedures,4.0,medical
1966,Anesthesia for induced abortion procedures,4.0,medical
1967,Neuraxial labor analgesia/anesthesia for planned vaginal delivery (this includes any repeat subarachnoid needle placement and drug injection and/or any necessary replacement of an epidural catheter during labor),5.0,medical
1968,Anesthesia for cesarean delivery following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed),3.0,medical
1969,Anesthesia for cesarean hysterectomy following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed),5.0,medical
1990,Physiological support for harvesting of organ(s) from braindead -patient,7.0,medical
1991,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); other than the prone position,3.0,medical
1992,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); prone position,5.0,medical
1996,Daily hospital management of epidural or subarachnoid continuous drug administration,3.0,medical
1999,Unlisted anesthesia procedure(s),0.0,medical
99100,"Anesthesia for patient of extreme age, younger than 1 year and older than 70 (List separately in addition to code for primary anesthesia procedure)",1.0,medical
99116,Anesthesia complicated by utilization of total body hypothermia (List separately in addition to code for primary anesthesia procedure),5.0,medical
99135,Anesthesia complicated by utilization of controlled hypotension (List separately in addition to code for primary anesthesia procedure),5.0,medical
99140,Anesthesia complicated by emergency conditions (specify) (List separately in addition to code for primary anesthesia procedure),2.0,medical
