code,relative value,pc/tc split,schedule
21083,11.32,,medical
21084,13.22,,medical
21085,5.27,,medical
21086,14.62,,medical
21087,14.62,,medical
21088,BR,,medical
21089,BR,,medical
21100,1.28,,medical
21110,5.24,,medical
21116,0.25,,medical
21120,7.26,,medical
21121,8.89,,medical
21122,11.76,,medical
21123,13.09,,medical
21125,8.08,,medical
21127,11.25,,medical
21137,10.32,,medical
21138,12.88,,medical
21139,15.44,,medical
21141,19.18,,medical
21142,20.15,,medical
21143,20.86,,medical
21145,21.01,,medical
21146,21.98,,medical
21147,23.01,,medical
21150,24.95,,medical
21151,28.02,,medical
21154,30.16,,medical
21155,34.77,,medical
21159,42.43,,medical
21160,49.29,,medical
21172,18.81,,medical
21175,29.66,,medical
21179,24.54,,medical
21180,27.61,,medical
21181,9.71,,medical
21182,30.43,,medical
21183,33.33,,medical
21184,36.12,,medical
21188,23.72,,medical
21193,22.96,,medical
21194,26.36,,medical
21195,22.40,,medical
21196,17.49,,medical
21198,11.66,,medical
21199,21.42,,medical
21206,17.49,,medical
21208,3.46,,medical
21209,6.65,,medical
21210,11.66,,medical
21215,17.49,,medical
21230,15.71,,medical
21235,5.83,,medical
21240,13.93,,medical
21242,17.39,,medical
21243,25.06,,medical
21244,14.32,,medical
21245,18.41,,medical
21246,20.35,,medical
21247,19.94,,medical
21248,15.85,,medical
21249,20.45,,medical
21255,16.88,,medical
21256,22.50,,medical
21260,22.90,,medical
21261,28.63,,medical
21263,37.84,,medical
21267,36.81,,medical
21268,44.99,,medical
21270,9.21,,medical
21275,22.50,,medical
21280,7.78,,medical
21282,6.14,,medical
21295,12.37,,medical
21296,10.13,,medical
21299,BR,,medical
21310,1.03,,medical
21315,0.79,,medical
21320,1.98,,medical
21325,2.67,,medical
21330,6.22,,medical
21335,11.16,,medical
21336,4.50,,medical
21337,2.87,,medical
21338,7.16,,medical
21339,7.87,,medical
21340,10.32,,medical
21343,9.82,,medical
21344,15.03,,medical
21345,9.61,,medical
21346,12.27,,medical
21347,14.62,,medical
21348,14.72,,medical
21355,0.79,,medical
21356,5.12,,medical
21360,4.64,,medical
21365,8.60,,medical
21366,13.80,,medical
21385,7.90,,medical
21386,8.50,,medical
21387,9.88,,medical
21390,9.19,,medical
21395,11.86,,medical
21400,1.19,,medical
21401,3.95,,medical
21406,4.64,,medical
21407,5.24,,medical
21408,10.23,,medical
21421,5.24,,medical
21422,8.99,,medical
21423,9.41,,medical
21431,5.24,,medical
21432,5.24,,medical
21433,15.34,,medical
21435,17.49,,medical
21436,20.45,,medical
21440,3.36,,medical
21445,3.99,,medical
21450,3.36,,medical
21451,6.75,,medical
21452,7.87,,medical
21453,5.24,,medical
21454,8.49,,medical
21461,9.58,,medical
21462,9.88,,medical
21465,12.27,,medical
21470,14.82,,medical
21480,0.59,,medical
21485,2.25,,medical
21490,9.58,,medical
21497,1.28,,medical
21499,BR,,medical
21501,3.26,,medical
21502,3.95,,medical
21510,4.87,,medical
21550,1.03,,medical
21552,2.38,,medical
21554,4.14,,medical
21555,2.00,,medical
21556,5.14,,medical
21557,13.09,,medical
21558,7.35,,medical
21600,3.85,,medical
21610,3.85,,medical
21615,9.68,,medical
21616,11.86,,medical
21620,8.28,,medical
21627,8.69,,medical
21630,12.78,,medical
21632,18.92,,medical
21685,6.73,,medical
21700,6.04,,medical
21705,7.26,,medical
21720,4.86,,medical
21725,5.47,,medical
21740,12.94,,medical
21742,9.83,,medical
21743,12.94,,medical
21750,6.21,,medical
21811,6.32,,medical
21812,7.69,,medical
21813,10.48,,medical
21820,1.98,,medical
21825,8.63,,medical
21899,BR,,medical
21920,0.69,,medical
21925,2.45,,medical
21930,3.88,,medical
21931,3.52,,medical
21932,4.55,,medical
