code,relative value,pc/tc split,schedule
98969.0,4.23,,medical
99000.0,NC,,medical
99001.0,NC,,medical
99002.0,NC,,medical
99024.0,BR,,medical
99026.0,BR,,medical
99027.0,BR,,medical
99050.0,3.55,,medical
99051.0,BR,,medical
99053.0,BR,,medical
99056.0,3.38,,medical
99058.0,4.23,,medical
99060.0,4.73,,medical
99070.0,Refer to Rules,,medical
99071.0,NC,,medical
99075.0,Refer to Rules,,medical
99078.0,NC,,medical
99080.0,NC,,medical
99082.0,NC,,medical
99090.0,NC,,medical
99091.0,NC,,medical
99151.0,15.05,,medical
99152.0,9.99,,medical
99153.0,2.12,,medical
99155.0,19.61,,medical
99156.0,15.39,,medical
99157.0,11.74,,medical
99170.0,25.70,,medical
99172.0,4.57,20/80,medical
99173.0,2.28,,medical
99174.0,2.54,,medical
99175.0,6.43,,medical
99177.0,0.96,,medical
99183.0,37.20,,medical
99184.0,45.23,,medical
99188.0,2.39,,medical
99190.0,NC,0/100,medical
99191.0,NC,0/100,medical
99192.0,NC,0/100,medical
99195.0,6.76,,medical
99199.0,BR,,medical
99500.0,NC,,medical
99501.0,NC,,medical
99502.0,NC,,medical
99503.0,NC,,medical
99504.0,NC,,medical
99505.0,NC,,medical
99506.0,NC,,medical
99507.0,NC,,medical
99509.0,NC,,medical
99510.0,NC,,medical
99511.0,NC,,medical
99512.0,NC,,medical
99600.0,NC,,medical
99601.0,NC,,medical
99602.0,NC,,medical
99605.0,BR,,medical
99606.0,BR,,medical
99607.0,BR,,medical
92953.0,12.68,,medical
92960.0,38.05,,medical
92961.0,118.37,,medical
92970.0,42.28,,medical
92971.0,12.68,,medical
92973.0,150.08,,medical
92974.0,168.68,,medical
92975.0,139.00,,medical
92977.0,70.51,,medical
92978.0,143.27,,medical
92979.0,63.24,46/54,medical
92986.0,287.47,,medical
92987.0,316.22,,medical
92990.0,236.74,,medical
92992.0,444.56,,medical
92993.0,311.48,,medical
92997.0,300.15,,medical
92998.0,150.08,,medical
93000.0,6.59,40/60,medical
93005.0,4.90,0/100,medical
93010.0,3.30,,medical
93015.0,38.05,,medical
93016.0,9.51,,medical
93017.0,19.02,0/100,medical
93018.0,9.51,,medical
93024.0,35.34,60/40,medical
93025.0,45.66,,medical
93040.0,4.06,65/35,medical
93041.0,2.03,0/100,medical
93042.0,2.71,,medical
93050.0,3.22,51/49,medical
93224.0,42.11,40/60,medical
93225.0,13.70,0/100,medical
93226.0,15.22,0/100,medical
93227.0,16.06,,medical
93228.0,7.27,,medical
93229.0,144.92,,medical
93260.0,12.66,66/34,medical
93261.0,11.49,64/36,medical
93268.0,36.69,,medical
93270.0,7.27,0/100,medical
93271.0,14.71,0/100,medical
93272.0,14.71,,medical
93278.0,21.48,40/60,medical
93279.0,16.06,65/35,medical
93280.0,18.94,66/34,medical
93281.0,22.32,65/35,medical
93282.0,20.63,66/34,medical
93283.0,25.03,68/32,medical
93284.0,31.28,70/30,medical
93285.0,14.04,61/39,medical
93286.0,7.27,55/45,medical
93287.0,11.84,61/39,medical
93288.0,12.51,56/44,medical
93289.0,19.11,66/34,medical
93290.0,10.15,66/34,medical
93291.0,12.01,59/41,medical
93292.0,12.34,64/36,medical
93293.0,17.25,28/72,medical
93294.0,12.18,,medical
93295.0,19.11,,medical
93296.0,12.01,,medical
93297.0,7.10,,medical
93298.0,9.64,,medical
93299.0,BR,,medical
93303.0,48.02,40/60,medical
93304.0,26.80,40/60,medical
93306.0,71.02,27/73,medical
93307.0,43.63,40/60,medical
93308.0,24.35,40/60,medical
93312.0,62.57,45/55,medical
93313.0,21.64,,medical
93314.0,44.47,40/60,medical
93315.0,68.82,45/55,medical
93316.0,23.84,,medical
93317.0,48.95,40/60,medical
93318.0,62.57,45/55,medical
93320.0,26.72,40/60,medical
93321.0,16.03,40/60,medical
93325.0,18.94,40/60,medical
93350.0,77.79,40/60,medical
93351.0,71.02,,medical
93352.0,10.15,,medical
93355.0,46.45,,medical
93451.0,93.01,18/82,medical
93452.0,103.32,29/71,medical
93453.0,135.28,29/71,medical
93454.0,103.32,28/72,medical
93455.0,123.95,28/72,medical
93456.0,133.59,29/71,medical
93457.0,148.81,29/71,medical
93458.0,128.01,29/71,medical
93459.0,142.04,29/71,medical
93460.0,152.19,31/69,medical
93461.0,174.00,29/71,medical
93462.0,24.69,,medical
93463.0,13.02,,medical
93464.0,30.61,35/65,medical
93503.0,57.83,,medical
93505.0,93.01,55/45,medical
93530.0,131.90,45/55,medical
93531.0,304.38,45/55,medical
93532.0,313.17,45/55,medical
93533.0,278.68,45/55,medical
93561.0,47.86,40/60,medical
