file	pages
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1391-4516.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1391-4624.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1391-7040.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1392-5156.pdf	25
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1392-5836.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1393-1700.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1393-3821.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1393-3833.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1394-9622.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1398-0396.pdf	24
